"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKT3|ENST00000673466.1|2",2516.91107937284,-1.30805425539806,0.143575721724207,-9.11055323065475,8.19629396026648e-20,3.17898357390258e-19
"AKT3|ENST00000673466.1|3",157.299097233388,-1.58521852122999,0.222490193006083,-7.12489166291772,1.04162585275172e-12,2.89792168139543e-12
"AKT3|ENST00000673466.1|7",1173.96393464338,1.24211315944849,0.319590361493269,3.88657891196964,0.000101666887176593,0.000166143308461462
"AKT3|ENST00000673466.1|11",1647.76923162342,-1.33565787837044,0.116947641976763,-11.4209902465227,3.28469783488588e-30,1.91626039787765e-29
"AKT3|ENST00000673466.1|17",5438.41232239715,1.52731317663817,0.147454184400252,10.357882910209,3.85397791323545e-25,1.84267838190902e-24
"AKT3|ENST00000673466.1|23",669.214749921368,-2.26087261157175,0.193415073427172,-11.6892265504997,1.44698335736909e-31,8.85113364208869e-31
"AKT3|ENST00000673466.1|24",1163.3683295954,-2.20985616762608,0.142824802645152,-15.4724958599556,5.32036132860021e-54,7.10389828680543e-53
"AKT3|ENST00000673466.1|25",825.043775328191,-4.30935214230748,0.193740162933732,-22.2429468265776,1.31996595120184e-109,9.81939888046236e-108
"AKT3|ENST00000673466.1|26",590.317407834584,-5.53448233550765,0.279110226791006,-19.8290202374125,1.67266153114954e-87,6.3800850823497e-86
"AKT3|ENST00000673466.1|27",1097.15268893989,-1.48730169089464,0.161537160695231,-9.20717984947561,3.34805431413464e-20,1.31820008285308e-19
"AKT3|ENST00000673466.1|29",9138.52076363038,1.66859059542532,0.149224416811632,11.1817531679926,5.00905406993011e-29,2.81791642064598e-28
"AKT3|ENST00000673466.1|29|mutated",10746.0638920302,1.66925195646387,0.171488671300321,9.73389054686053,2.16163563581452e-22,9.27289040478171e-22
"AKT3|ENST00000673466.1|32",515.395035569828,-2.04648887745808,0.236906718503592,-8.63837416846853,5.70186123153023e-18,2.04709808063662e-17
"AKT3|ENST00000673466.1|33",1142.1254742307,-2.59829208516301,0.189212446504009,-13.7321414799631,6.51781478926426e-43,5.96818560634695e-42
"AKT3|ENST00000673466.1|35",3971.04485170163,2.31083145714054,0.145996944806931,15.8279439353778,1.99638829679303e-56,2.85331057645467e-55
"AKT3|ENST00000673466.1|36",965.092760252901,-1.23485213548614,0.201100377193526,-6.14047647607245,8.22743187384169e-10,1.94052681278066e-09
"AKT3|ENST00000673466.1|37",666.727323641532,-2.97689094431403,0.179479682293049,-16.5862280692779,8.76554211357171e-62,1.48283754087921e-60
"AKT3|ENST00000673466.1|37|mutated",380.97873031377,-3.03014759552183,0.195099708834941,-15.5312768717938,2.13094109096584e-54,2.88713591023731e-53
