"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALDH1A2|ENST00000249750.9|13",1418.63758136038,-1.11533294854896,0.0924750096996518,-12.0609119390355,1.69891252866277e-33,6.70387750111332e-33
"ALX4|ENST00000652299.1|1",3594.66423898108,1.23875016859655,0.117332050303259,10.5576452929514,4.68260723280812e-26,1.45935574008952e-25
"ALX4|ENST00000652299.1|2",12273.734136688,1.00013632047181,0.112261210108135,8.90901068595676,5.14899496808071e-19,1.27316738323234e-18
"ALX4|ENST00000652299.1|4",4260.9390878796,1.26130377488987,0.106614831280647,11.8304719872386,2.71610202706866e-32,1.03330905951993e-31
"ALX4|ENST00000652299.1|5",6406.20960398286,1.43114510980021,0.115849279550283,12.3535089329497,4.66322197003585e-35,1.93842467734315e-34
"ALX4|ENST00000652299.1|6",3684.80184047454,1.01363852916517,0.116628515999698,8.69117231301991,3.58718481839595e-18,8.62248678258094e-18
"ALX4|ENST00000652299.1|7",3654.7116584834,1.92168913158055,0.104806861504309,18.3355278843222,4.30813862843744e-75,4.88745272430687e-74
"ALX4|ENST00000652299.1|8",8288.36522488323,1.20621622335469,0.123728280661417,9.74891283469385,1.86454272726395e-22,5.1575206355627e-22
"ALX4|ENST00000652299.1|9",7548.92759241858,1.36190380348348,0.122673554965097,11.1018532386297,1.22869343776142e-28,4.14640771391035e-28
"ALX4|ENST00000652299.1|10",7503.77236394658,1.06925889132835,0.121081554041018,8.8308983131,1.03838358609205e-18,2.54237387316222e-18
"ALX4|ENST00000652299.1|11",6743.67936566336,1.11805428839855,0.104939107923667,10.6543147785459,1.66466022658233e-26,5.27025092876751e-26
"ALX4|ENST00000652299.1|12",7982.35639993233,1.21214922669235,0.108377154492148,11.1845456025529,4.85385394957258e-29,1.65714363966599e-28
"ALX4|ENST00000652299.1|13",5944.28557995251,1.15532248080738,0.0912820820379892,12.6566184185695,1.02834302043555e-36,4.5027592780767e-36
"ALX4|ENST00000652299.1|17",5926.04917449908,1.12192795755326,0.0933599076642942,12.0172350811177,2.88463037522173e-33,1.13082041541742e-32
"ALX4|ENST00000652299.1|18",8115.24797592283,1.00570688559646,0.104081127752205,9.6627208728064,4.34176297868956e-22,1.18917056435073e-21
"ALX4|ENST00000652299.1|20",3231.65063741238,1.10335642137194,0.106162113769962,10.3931278512667,2.66468323003392e-25,8.12287661470898e-25
"ALX4|ENST00000652299.1|21",6985.16841324801,1.48122797887211,0.108216651623205,13.6876160614314,1.20394802956347e-42,6.20890976933722e-42
"ALX4|ENST00000652299.1|22",1467.42029222284,1.32255122078032,0.113042179304569,11.6996260061209,1.28016447577882e-31,4.76432756130173e-31
"ALX4|ENST00000652299.1|23",4431.95379248574,1.0632657241434,0.108750588112521,9.77710321017549,1.41193787201814e-22,3.91914173002255e-22
"ALX4|ENST00000652299.1|26",6496.42978780632,1.47046643181731,0.100131823440196,14.6853056430711,8.00723499311776e-49,4.9651488207842e-48
"ALX4|ENST00000652299.1|30",544.316114368301,-1.20329225061495,0.159983262262089,-7.52136338264991,5.42079523180786e-14,1.12277190313033e-13
"ALX4|ENST00000652299.1|31",190.127790560275,-2.95123681099906,0.233503486589767,-12.6389410886355,1.28776540904056e-36,5.62429077663357e-36
"ANK2|ENST00000357077.9|5",2216.04418221608,-1.77274072085374,0.0844157907091326,-21.0001079888239,6.54366608703342e-98,1.16137955144682e-96
"ANK2|ENST00000357077.9|11",838.328738468869,-2.45651141913212,0.122852297555883,-19.9956489866598,6.00920455771851e-89,9.05537994987016e-88
"ANK2|ENST00000357077.9|12",443.969091260039,-2.5260019143137,0.152268782779961,-16.5890990142343,8.35645468123351e-62,7.11516183945824e-61
"ANK2|ENST00000357077.9|16",545.276280453385,-2.49958798322176,0.1405885947261,-17.7794506595045,1.01974247183754e-70,1.06323018386543e-69
"ANKRD11|ENST00000301030.10|1",2864.01223382756,1.62445022895165,0.129041024211371,12.5886340323119,2.43856715244188e-36,1.05503916526738e-35
"ANKRD11|ENST00000301030.10|3",3047.93101441294,1.3127978104506,0.106649917005007,12.309412396345,8.06079116309347e-35,3.31735754496255e-34
"ANKRD11|ENST00000301030.10|4",5312.76488968018,1.40165207372165,0.0894183203484005,15.675222574752,2.23440929811176e-55,1.63420167224536e-54
"ANOS1|ENST00000262648.8|2",443.870572809453,-1.34280001657418,0.139724913711551,-9.61031201168799,7.23294752784772e-22,1.96531438837867e-21
"ANOS1|ENST00000262648.8|3",1144.35126010894,-3.0414628653501,0.127171462148828,-23.9162372906485,2.0759709323074e-126,5.89339615380157e-125
